前缀,城市,代号,省份,地区
110000,北京市,11,北京市,华北地区
110100,市辖区,11,北京市,华北地区
110101,东城区,11,北京市,华北地区
110102,西城区,11,北京市,华北地区
110105,朝阳区,11,北京市,华北地区
110106,丰台区,11,北京市,华北地区
110107,石景山区,11,北京市,华北地区
110108,海淀区,11,北京市,华北地区
110109,门头沟区,11,北京市,华北地区
110111,房山区,11,北京市,华北地区
110112,通州区,11,北京市,华北地区
110113,顺义区,11,北京市,华北地区
110114,昌平区,11,北京市,华北地区
110115,大兴区,11,北京市,华北地区
110116,怀柔区,11,北京市,华北地区
110117,平谷区,11,北京市,华北地区
110200,县,11,北京市,华北地区
110228,密云县,11,北京市,华北地区
110229,延庆县,11,北京市,华北地区
120000,天津市,12,天津市,华北地区
120100,市辖区,12,天津市,华北地区
120101,和平区,12,天津市,华北地区
120102,河东区,12,天津市,华北地区
120103,河西区,12,天津市,华北地区
120104,南开区,12,天津市,华北地区
120105,河北区,12,天津市,华北地区
120106,红桥区,12,天津市,华北地区
120110,东丽区,12,天津市,华北地区
120111,西青区,12,天津市,华北地区
120112,津南区,12,天津市,华北地区
120113,北辰区,12,天津市,华北地区
120114,武清区,12,天津市,华北地区
120115,宝坻区,12,天津市,华北地区
120116,滨海新区,12,天津市,华北地区
120200,县,12,天津市,华北地区
120221,宁河县,12,天津市,华北地区
120223,静海县,12,天津市,华北地区
120225,蓟县,12,天津市,华北地区
130000,河北省,13,河北省,华北地区
130100,石家庄市,13,河北省,华北地区
130101,市辖区,13,河北省,华北地区
130102,长安区,13,河北省,华北地区
130103,桥东区,13,河北省,华北地区
130104,桥西区,13,河北省,华北地区
130105,新华区,13,河北省,华北地区
130107,井陉矿区,13,河北省,华北地区
130108,裕华区,13,河北省,华北地区
130121,井陉县,13,河北省,华北地区
130123,正定县,13,河北省,华北地区
130124,栾城县,13,河北省,华北地区
130125,行唐县,13,河北省,华北地区
130126,灵寿县,13,河北省,华北地区
130127,高邑县,13,河北省,华北地区
130128,深泽县,13,河北省,华北地区
130129,赞皇县,13,河北省,华北地区
130130,无极县,13,河北省,华北地区
130131,平山县,13,河北省,华北地区
130132,元氏县,13,河北省,华北地区
130133,赵县,13,河北省,华北地区
130181,辛集市,13,河北省,华北地区
130182,藁城市,13,河北省,华北地区
130183,晋州市,13,河北省,华北地区
130184,新乐市,13,河北省,华北地区
130185,鹿泉市,13,河北省,华北地区
130200,唐山市,13,河北省,华北地区
130201,市辖区,13,河北省,华北地区
130202,路南区,13,河北省,华北地区
130203,路北区,13,河北省,华北地区
130204,古冶区,13,河北省,华北地区
130205,开平区,13,河北省,华北地区
130207,丰南区,13,河北省,华北地区
130208,丰润区,13,河北省,华北地区
130209,曹妃甸区,13,河北省,华北地区
130223,滦县,13,河北省,华北地区
130224,滦南县,13,河北省,华北地区
130225,乐亭县,13,河北省,华北地区
130227,迁西县,13,河北省,华北地区
130229,玉田县,13,河北省,华北地区
130281,遵化市,13,河北省,华北地区
130283,迁安市,13,河北省,华北地区
130300,秦皇岛市,13,河北省,华北地区
130301,市辖区,13,河北省,华北地区
130302,海港区,13,河北省,华北地区
130303,山海关区,13,河北省,华北地区
130304,北戴河区,13,河北省,华北地区
130321,青龙满族自治县,13,河北省,华北地区
130322,昌黎县,13,河北省,华北地区
130323,抚宁县,13,河北省,华北地区
130324,卢龙县,13,河北省,华北地区
130400,邯郸市,13,河北省,华北地区
130401,市辖区,13,河北省,华北地区
130402,邯山区,13,河北省,华北地区
130403,丛台区,13,河北省,华北地区
130404,复兴区,13,河北省,华北地区
130406,峰峰矿区,13,河北省,华北地区
130421,邯郸县,13,河北省,华北地区
130423,临漳县,13,河北省,华北地区
130424,成安县,13,河北省,华北地区
130425,大名县,13,河北省,华北地区
130426,涉县,13,河北省,华北地区
130427,磁县,13,河北省,华北地区
130428,肥乡县,13,河北省,华北地区
130429,永年县,13,河北省,华北地区
130430,邱县,13,河北省,华北地区
130431,鸡泽县,13,河北省,华北地区
130432,广平县,13,河北省,华北地区
130433,馆陶县,13,河北省,华北地区
130434,魏县,13,河北省,华北地区
130435,曲周县,13,河北省,华北地区
130481,武安市,13,河北省,华北地区
130500,邢台市,13,河北省,华北地区
130501,市辖区,13,河北省,华北地区
130502,桥东区,13,河北省,华北地区
130503,桥西区,13,河北省,华北地区
130521,邢台县,13,河北省,华北地区
130522,临城县,13,河北省,华北地区
130523,内丘县,13,河北省,华北地区
130524,柏乡县,13,河北省,华北地区
130525,隆尧县,13,河北省,华北地区
130526,任县,13,河北省,华北地区
130527,南和县,13,河北省,华北地区
130528,宁晋县,13,河北省,华北地区
130529,巨鹿县,13,河北省,华北地区
130530,新河县,13,河北省,华北地区
130531,广宗县,13,河北省,华北地区
130532,平乡县,13,河北省,华北地区
130533,威县,13,河北省,华北地区
130534,清河县,13,河北省,华北地区
130535,临西县,13,河北省,华北地区
130581,南宫市,13,河北省,华北地区
130582,沙河市,13,河北省,华北地区
130600,保定市,13,河北省,华北地区
130601,市辖区,13,河北省,华北地区
130602,新市区,13,河北省,华北地区
130603,北市区,13,河北省,华北地区
130604,南市区,13,河北省,华北地区
130621,满城县,13,河北省,华北地区
130622,清苑县,13,河北省,华北地区
130623,涞水县,13,河北省,华北地区
130624,阜平县,13,河北省,华北地区
130625,徐水县,13,河北省,华北地区
130626,定兴县,13,河北省,华北地区
130627,唐县,13,河北省,华北地区
130628,高阳县,13,河北省,华北地区
130629,容城县,13,河北省,华北地区
130630,涞源县,13,河北省,华北地区
130631,望都县,13,河北省,华北地区
130632,安新县,13,河北省,华北地区
130633,易县,13,河北省,华北地区
130634,曲阳县,13,河北省,华北地区
130635,蠡县,13,河北省,华北地区
130636,顺平县,13,河北省,华北地区
130637,博野县,13,河北省,华北地区
130638,雄县,13,河北省,华北地区
130681,涿州市,13,河北省,华北地区
130682,定州市,13,河北省,华北地区
130683,安国市,13,河北省,华北地区
130684,高碑店市,13,河北省,华北地区
130700,张家口市,13,河北省,华北地区
130701,市辖区,13,河北省,华北地区
130702,桥东区,13,河北省,华北地区
130703,桥西区,13,河北省,华北地区
130705,宣化区,13,河北省,华北地区
130706,下花园区,13,河北省,华北地区
130721,宣化县,13,河北省,华北地区
130722,张北县,13,河北省,华北地区
130723,康保县,13,河北省,华北地区
130724,沽源县,13,河北省,华北地区
130725,尚义县,13,河北省,华北地区
130726,蔚县,13,河北省,华北地区
130727,阳原县,13,河北省,华北地区
130728,怀安县,13,河北省,华北地区
130729,万全县,13,河北省,华北地区
130730,怀来县,13,河北省,华北地区
130731,涿鹿县,13,河北省,华北地区
130732,赤城县,13,河北省,华北地区
130733,崇礼县,13,河北省,华北地区
130800,承德市,13,河北省,华北地区
130801,市辖区,13,河北省,华北地区
130802,双桥区,13,河北省,华北地区
130803,双滦区,13,河北省,华北地区
130804,鹰手营子矿区,13,河北省,华北地区
130821,承德县,13,河北省,华北地区
130822,兴隆县,13,河北省,华北地区
130823,平泉县,13,河北省,华北地区
130824,滦平县,13,河北省,华北地区
130825,隆化县,13,河北省,华北地区
130826,丰宁满族自治县,13,河北省,华北地区
130827,宽城满族自治县,13,河北省,华北地区
130828,围场满族蒙古族自治县,13,河北省,华北地区
130900,沧州市,13,河北省,华北地区
130901,市辖区,13,河北省,华北地区
130902,新华区,13,河北省,华北地区
130903,运河区,13,河北省,华北地区
130921,沧县,13,河北省,华北地区
130922,青县,13,河北省,华北地区
130923,东光县,13,河北省,华北地区
130924,海兴县,13,河北省,华北地区
130925,盐山县,13,河北省,华北地区
130926,肃宁县,13,河北省,华北地区
130927,南皮县,13,河北省,华北地区
130928,吴桥县,13,河北省,华北地区
130929,献县,13,河北省,华北地区
130930,孟村回族自治县,13,河北省,华北地区
130981,泊头市,13,河北省,华北地区
130982,任丘市,13,河北省,华北地区
130983,黄骅市,13,河北省,华北地区
130984,河间市,13,河北省,华北地区
131000,廊坊市,13,河北省,华北地区
131001,市辖区,13,河北省,华北地区
131002,安次区,13,河北省,华北地区
131003,广阳区,13,河北省,华北地区
131022,固安县,13,河北省,华北地区
131023,永清县,13,河北省,华北地区
131024,香河县,13,河北省,华北地区
